text,nama paslon
"Paslon No.1 is the best dari debat ini visi, misi, gagasan serta paparan yang jelas dan mudah difahami. Semoga indonesia dipimpin oleh bapak Anies Rasyid Baswedan &amp; bapak Muhaimin Iskandar karna beliau berdua yang terbaik dan paling kompeten dari sudut pandang manapun. Tanpa mengurangi hormat pada paslon lain tapi paslon AMIN yang terbaik.",muhaimin iskandar
Ingat kata ca imin di podcast Dedy Corbuzier??NAMA NYA JUGA KAMPANYEðŸ˜‚jdi jelas pinter ngmng doang,muhaimin iskandar
"program kerja pak anies dan cak imin cukup jelas terdapat divisi mereka, jelas ketika nanti terpilih pun insya Allah sudah tersrtruktur dan komitmen untuk mewujudkannya. semangat AMIN 2024",muhaimin iskandar
Pak Anies dan cak Imin visi dan misi nya dipaparkan dengan jelas dan terarah,muhaimin iskandar
"Memang gak salah nih aku dukung Pak Amin, dari cara menjelaskannya saja terlihat pintar",muhaimin iskandar
Pemamparan  dari pak Amin sangat jelas dan terstruktur sekali. Nah ini dia sosok orang cerdas seperti ini.,muhaimin iskandar
Penjelasan pak anies dan pak imin dalam memaparkan visi misi sudah paling cerdas pling bisa dimengerti oleh masyarakat Indonesia.,muhaimin iskandar
Pak imin bisa memaparkan semua dengan jelas... Pak imin hebat.. Tak kalah cerdas,muhaimin iskandar
"Satu jam pertama ampe segmen 2 menyimak debat :<br>Cak Imin : ide gagasannya normatif atau ngawange, gk ada hal yg sifatnya konkret .. mau kasi pupuk murah, irigasi yg baik itu kyk gmn???<br>Gibran : lugas dan to the point pada inti pertanyaan, didukung data dan fakta yg cukup<br>Prof Mahfud : Dikasi pertanyaan kok malah memperkuat pertanyaannya?? Mana jawaban utk program bapak?? Apalagi tahu masalah dilapangannya..<br><br>Udah jelas sih emang siapa yg unggul",muhaimin iskandar
"x ini cak imin menang ,gagasan nya jelas...mari kita beri aprisiasi.",muhaimin iskandar
"Gus Imin kali ini lebih tertata saat menyampaikan argumen, runtut, dan jelas tidak mbulet...",muhaimin iskandar
Gibran tuh ijazahnya beneran palsu ya? Kok pertanyaan gajelas semua ;(( kek pertanyaan gue pas sd nanyain definisi semua ;(( cak imin sama pa mahfud jdi magerr bjirr jwbnya ðŸ˜… manusia bisa pura pura nasionalis bisa pura2 merakyat gemoy dll tapi gabisa pura2 cerdass ðŸ«¶ðŸ» AMIN â˜ðŸ»,muhaimin iskandar
"Gibran sedang belajar taneman,sedang belajar istilah istilah asing,intinya msh belajar dia ðŸ˜‚<br>Pak mahfud dan muhaimin sudah bicara soal konsep2, visi misi jelasðŸŽ‰ðŸŽ‰",muhaimin iskandar
"visi misi 1dan 3, apppaaaan tuhhhh, si imin mengkritik, si mahfud berdaquah, nggak jelas parah bangat",muhaimin iskandar
saya melihat debat ini....sy tdk suka gibran...tetapi setelah lihat debat ini ...sy melihat bicaranya gibran luarbiasa ..dan misinya cukup jelas untuk kedepanya......di bandinkan muhaimin dan mahfud....yg tdk punya gagasan kedepan tpi sebaliknya....haya bicara soal yg menyinggung presiden sekarang....dan artinya tdk layak jadi wakil rakyat....smoga,muhaimin iskandar
Makin jelas Siapa itu Muhaimin jawabannya titik-titik,muhaimin iskandar
"MasyaAllah, bukti cak imin sebagai santri sangat lugas dalam memaparkan penjelasan, semakin yakin all in AMIN",muhaimin iskandar
"Cak Imin  menjelaskan dan menjawab dengan sangat baik dan memang Cak Imin itu cerdas cocok jadi wakil Presiden 2024, semangat terus AMIN",muhaimin iskandar
Pak Anies dan cak Imin terlihat sangat pintar dalam memaparkan penjelasan ketika debat berlangsungðŸ¤©ðŸ¤©ðŸ¤©ðŸ¤©ðŸ¤©ðŸ¤©ðŸ¤©,muhaimin iskandar
Dari segala aspek terlihat jelas bahwa Gus Imin ini merupakan cawapres yang lebih mumpuni ketimbang yang lainðŸ¤©ðŸ¤©ðŸ¤©ðŸ¤©,muhaimin iskandar
"Gus imin dan Mahfud md kalian aja yang debat cawapres, lebih bagusss lebih jelass, lebih ingin indonesia berubah jadi lebih baik. Jujur saya cuma nonton Gus imin dan Mahfud md doang di debat ini saluuuttt deehh sama Gus Imin dan mahfud md. Btw saya pilih 01, semangaaattt pak Anies dan Gus imin semoga menaaaang AMIN",muhaimin iskandar
"Ttg perdagangan<br>Pak Mahfud : sesuai dgn gelarnya yg seorg Prof, jawaban yg bagus tp solusinya msh kurang greget<br>Pak Imin : hanya kritik tp tdk ada solusi<br>Pak Gibran : singkat padat jelas, beri contoh dan solusi<br>Kesimpulanku : pak Mahfud dan pak Gibran sm2 pintar, bagaikan dosen dan mahasiswa yg lg ujian. Tp ternyata si mahasiswa org yg pintar dan bahkan lbh pintar dari dosennya. Hanya utk dosennya lbh senior, lbh pengalaman. Jd jika Prabowo + Gibran terpilih, pak Mahfud ini aset berharga sekali krn dia pintar dan mengerti lapangan",muhaimin iskandar
Opening cak imin kaga jelas wkwk napsu mau jadi presiden kok mau jadi cawapres wkwk,muhaimin iskandar
"Saya suka liat pak mahfud berbicara bawaannya santai dan apa adanya, kalau pak gibran menggebu2ðŸ™, cak imin B aja si tp salut beliau menanggapinya dgn sopan dan senyuman dan ga ngegas, beda pengalaman lah ya sdh jelas beda secara pembawaanðŸ™ sy suka dgn pak prabowo tp ga suka wakilnya huhu, suka pak mahfud dan pak ganjar tapiii...ðŸ˜­<br><br>Tidk perlu menjelek2an dan mencari kesalahan, cukup pilih sesuai hati nurani<br><br>Bagus2 visi misi nya tp siapapun yg jd presiden dan wakil semoga Indonesia menjadi lbh baik lg, hukum ditegakkan, rakyat disejahterakan, guru2 disejahterakan tdk hanya utk yg ASN tp menyeluruh<br><br>Selama ini yg sy rasakan tdk ada pengaruhnya di sayaðŸ˜­",muhaimin iskandar
Cak imin di gempur retorika sebatas normatif tidak jelas apa langkahâ€ kerjanyaðŸ¤£,muhaimin iskandar
"Pertanyaan ttg perkotaan<br>Cak Imin : jawabannya terll jauh, bangun 40 kota selevel Jkt. Maaf pak tdk semudah itu<br>Pak Gibran : tanggapannya lugas, jelas. Memberikan solusi yg tepat<br>Pak Mahfud : ia mengerti, apa yg diomongin cak Imin ini tdk semudah kt2<br>Sekali lg pak Gibran dan pak Mahfud otaknya selevel. Tapi pak Gibran bisa menjawab dgn baik dan beri solusi",muhaimin iskandar
"Pak muhaimin memang paling mantul dan akan menjadi andalan nkri, paling cerdas dan penjelasannya sederhana tapi mudah di pahami oleh siapapunðŸ‘ðŸ™ðŸ’ªðŸ’ªðŸ’ªðŸ’ªðŸ’ªðŸ’ªðŸ’ªðŸ¤²ðŸ¤²ðŸ¤²ðŸ¤²",muhaimin iskandar
"Visi dan missi Gibran jelas dan mantap. <br>Visi dan missi Mahfud MD, hanya berkisar korupsi. <br>Muhaimin Iskandar? Gk jelas.",muhaimin iskandar
"Sy setuju dgn cak Imin.. keterangannya jelas, mudah di pahami, tdk berbelit2 di slepet aja klo ada yg menyimpang mah yaa.. bener banget lebih di prioritas pembangunan2 jalan, sekolah2 dll. drpd IKN yg pastinya menelan biaya bukan sedikit..<br><br>AMIN ttp di hati &amp; di pilih!<br>AMIN.. aamiin Allahumma aamiin..",muhaimin iskandar
"Klau dari clon pasangan 123, GIBRAN ENERJIT  MAHFUD JG ADA TEGASNYA MESKI BELUM MAKSIMAL ,muhaimin MASIH BELUM KETEMU KINERJA DLAM HASIL PERPOLITIKAN MEMBANGUN NEGARA INI, HANYA KANCAH DSLAM PARTAI SAJA , BELUM TERLIHAT KINERJA INTER DAN DLM NEGRI YG SECARA JELAS DI RASAKAN MASARAKAT, TAPI YG JELAS KORUPSI DAN ORANG PENJILAT BUSUK ITU YG HARUS DI WASPADAI YG MENJADI VIRÃ™S PENGGEROGOT DLM NEFRI",muhaimin iskandar
"visi misi nya cak imin ini terlalu utopia tidak realistis, memang gampang kalau menyampaikan membangun banyak kota kota setara dengan jakarta tapi merealisasikanya sangat sulit, padahal di awal beliau mengatakan pentingnya pemilihan skala prioritas malah mengatakan hal utopia, lebih setuju dengan penyampaian mas gibran lebih solutif menjalaskan langkah langkah apa saja yg harus di lakukan jadi visi misi nya jelas gak asal menyebutkan hal yang utopia, kalau dari pak mahfud menurut saya beliau penyampainya lebih mengarah pengalaman pribadi jadi saya no komen",muhaimin iskandar
Apa sih ga jelas cak imin visi misi nya,muhaimin iskandar
Si cak imin ngakak banget pembukaannya udh jelas lu ambis jd presiden iminðŸ˜…,muhaimin iskandar
"ini mah debat antara pak mahfud sama gibran doang . cak imin ngumbar janji2 mulu , banyak narasi yang kaga jelas . jawabannya juga ngalor ngidul doang buat self defense tanpa counter attack",muhaimin iskandar
"Slepet slepet slepet hubungannya apa ya sama negara, Gus Muhaimin ini visi misinya ga jelas, negara kok dislepet aneh",muhaimin iskandar
"Hanya cak Imin yang memahami keadaan yg terjadi di masyarakat. Orang yg ingat Bicara tentang prioritas berarti memahami apa yg sedang terjadi. Tapi bingung ada cawapres di tanya apa jawabannya apa... Tapi dia tahu kelemahan masyarakat Indonesia yg tidak semua paham data. Bicara ngalor ngidul gak jelas tentang pertumbuhan padahal fakta yg terjadi banyak masyarakat yg kelaparan, pengangguran merajalela, hutang menumpuk angka stunting meningkat",muhaimin iskandar
Suaranya gus imin kurang jelas. Apakah gus imin lama di luar negri atau lidahnya emang  pendek  ?,muhaimin iskandar
"Mas gibran ini pembicaraanya mudah di pahami publik, alurnya jelas, dan lebih ke kekinian..  pak mahfudz itu sangat pintar dalam skala hukum, tapi seperti kurang menguasai terutama permasalahan perencanaan indonesia emas, lalu gus imin, ini malah saya bingung, malah muter2 ðŸ˜…",muhaimin iskandar
"Salut sama Gibran, jawabanya sangat teknis, kalau mahfud udah jelas menjelaskan secara hukum, kalau imin swmua jawabanya normatif dan asal jeplak",muhaimin iskandar
"Saya rasa yang menyampaikan visi misi program kerja hanya gibran,yang imin sama md g jelas peyampaianny",muhaimin iskandar
cak imin di suruh visi misi malah gak jelas hedddeh min min,muhaimin iskandar
Males gue lihat cak imin menjelasan seperti lagi mkan sesuatu....ðŸ˜…ðŸ˜…ðŸ˜…,muhaimin iskandar
"Jujur ya menurut gua cak imin, penjelasnnya gak kaya nomer 2 dan 3 kenapa ya? Terlalu banyak baca text cuman penjelasnya ngelantur ðŸ˜Œ",muhaimin iskandar
Cak imin dan pak mahfud lbih jelas dlam menjelaskan dbndingkan dgn gibran,muhaimin iskandar
Kalau lihat dari ketiga cawapres hanya cak imin yang bisa menyampaikan visi misinya jelas apalagi menyangkut etika,muhaimin iskandar
Dari debat Ini terlihat kemampuan dan kehebatan anak bangsa.. pak mahfud hebat dalam penanganan hukumâ€¦.nanti Insya Allah di jadikan menkopolhukamâ€¦ cak imin Ini hebat dalam menstabilkan dan menasehati masyarakatâ€¦. Nanti cocok jadi mentri sosialâ€¦ pak gibran gagasan terkait pembangunan nya jelasâ€¦ dukung pak gibran untuk mengomando pembangunan indonesia biar lebih maksimalâ€¦ yang setuju tolong likeâ€¦,muhaimin iskandar
Ca imin ngomong terll bnyk mimpi yg gk jelas kenyataannyaðŸ˜…ðŸ˜…ðŸ˜…,muhaimin iskandar
Gagasan serta visi misi Pak muhaimin semakin jelas pada debat kali ini sdh dikurangi jg kata &#39;nyeleneh&#39; atau candanya. Penampilannya lebih tenang dan tegas kali ini. 2024 AMINin dulu,muhaimin iskandar
"Saya pendukung setia pak prabowo tapi sekarang saya dukung orang pintar dan cerdas jelas dalam visi dan cara menjalankannya, saya dukung anis cak imin ðŸ‘ðŸ¼",muhaimin iskandar
"Visi misi dan anggaran muhaimin jelas bukan hanya janji dan teori,yg selalu kita dengar.",muhaimin iskandar
muhaimin keliatan nafsunya pengen jd presiden meski di balut kata2 ngelesnya diawal. visi misi tidak jelas usaha menaikkan ekonomi dgn nyelepet ekonomi menengah atas caranya pajaknya ditinggikan. amburadul niy klo kini caranya..tdk tau caranya menggali potensi dan sda alam dan sdm tp malah naikin pajak untuk pemasukan utama. terlihat banget sangat pialang duduk di legislatif..hahayy..muak dgn isi otak org seperti ini. gk heranlah ketika duduk dpemerintahan jd menteri transmigrasi begitu banyak anggaran namun tak satupun yg harum yg bisa membanggakan..hadeuhhh indonesiaku..seandainya yg punya jabatan bisa memberdayakan posisinya betapa sudah majunya sejak dari dulu..ðŸ˜…,muhaimin iskandar
Cak Imin ini banyak gak tau apa yg d sampaikan nya.<br>Kebanyakan terbuka mulut saja.<br>Untuk ngerayu rakyat,muhaimin iskandar
"Cak imin ini adalah salah satu contoh org yg gk bisa bersyukur, cak imin ini tinggal di indonesia dan hidup berkecukupan dimasa pemerintahan jokowi,kebijakan&quot; pemerintah selama ini gk ada nilai positifnya dimata imin,dari awal debat isi narasi imin adlh soal sindiran&quot; kpd pemerintah,dan kpd prabowo,semua kinerja pemerintahan selama ini dianggapnya salah dan harus di robah, cak imin si org pintar,si org hebat dan si paling sempurna dimuka bumi ini, gk ada kekurangan sedikitpun, semua kebaikan hanyalah milik imin, dan kekurangan hanyalh milik pemerintah jokowi. <a href=""https://www.youtube.com/watch?v=bzgrq1KTiSY&amp;t=3312"">55:12</a>  visi misinya apa miiiin... krjaan mu cuma ngegosif,memfitnah,menghasut dan jelek&quot;in org lain.  Dan imin ini pernah mengatakan jika ada warga NU yg memilih paslon lain berati msih diragukan ke NU annya kata cK imin sipaling sempurna ini... <a href=""https://www.youtube.com/watch?v=bzgrq1KTiSY&amp;t=3312"">55:12</a>",muhaimin iskandar
"Cak imin gak pernah handle dan turun langusng ngurusin jadi kurang paham masalah sesungguhnya, hanya ngomong yg kedengaran enak di dengar tapi gak ada solusi",muhaimin iskandar
"Cak Imin ngomong petani begini begitu, gak sadar Mentan nya orang NasDem ðŸ˜‚",muhaimin iskandar
Cak imin lebih matang perubahan besar dibanding debat yg dulu ! Keren !,muhaimin iskandar
Cak Imin koq masih menyalahkan pemerintah terus..sementara dia sendiri bagian dari pemerintah Jokowi. Wis cawapres koq ngawuur...visi misi mu ke depan pak yang ditunggu rakyat bukan blamming other sebagai senjatamu dalam debat. Rakyat cerdas pasti tidak pilih jiwa jiwa Sengkuni dalam pilpres 2024,muhaimin iskandar
Cak imin sama baca teks  juga dlmnjawab... Ko bisa ya...,muhaimin iskandar
Cak imin cerita etika ketika dia sendiri mengkudeta gurunya. Etikanya dimana ?,muhaimin iskandar
"Cak imin baru pembukaan udah sindir sana sindir siniðŸ˜‚ ga ada kualitas nya, bukan nya perkuat visi misi.",muhaimin iskandar
cak imin pidato mu menggambarkan hanya kampanye,muhaimin iskandar
Cak imin ngmg ga ada titik koma y jadi ga bisa dipahami,muhaimin iskandar
Cak imin banyak ngmg nyambungnya smpe ke z,muhaimin iskandar
Cak imin kurang tidur ya? Wkwkw ngomongnya ngaco gitu sihhh,muhaimin iskandar
"Cak imin muka nya,muka ambisi kekuasaan ðŸ˜‚",muhaimin iskandar
"Cak imin kocak benerðŸ˜‚ visi misinya min, bukan ceramah",muhaimin iskandar
Cak imin tetap terus pakai hati dan otak dlm memyampaikan gagasannya...sy saluut cak,muhaimin iskandar
Cak imin lu ngomong gtu tp lu di dlm pemerintahan otak lu bodoh apa gmn ngomong gto wkwkwkw,muhaimin iskandar
Cak imin kebanyakan menghayal,muhaimin iskandar
"Cak imin kurang ok nih, nyerocos nya kadang gk nyambung. Jomplang ama pak anis...",muhaimin iskandar
"Cak imin ama anis ccok.. Cara bicara muter&quot; Gda isi.. Angan angan trllu tinggi, bahaya negara punya utang lg nntiðŸ˜…,",muhaimin iskandar
cak imin ngomong apa sih.... ga ada isinya. <br><br>kayak dongen sebelum tidur. ......,muhaimin iskandar
"cak imin terlalu berteleÂ² jawabanya , mengecewakan",muhaimin iskandar
"Cak imin ini blunder bicara omnibuslaw,justru omnibuslaw yg sedang di protes tdk pto rakyat,,bodoh banget cak imin ini,,",muhaimin iskandar
Cak Imin bisanya bawa teks untuk menyampaikan visi misiðŸ˜‚ðŸ˜‚ðŸ˜‚,muhaimin iskandar
"Cak Imin, Top Markotop...paling bagus jawaban2 nya, bukan sekedar hafalan tp pengalaman nya jg Tooop...ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘",muhaimin iskandar
Cak imin niih gagasan&quot; idenya itu lelucon..sulit d nalar untuk d cerna dgn realita kehipan bernegara d dlam negara..,muhaimin iskandar
Cak imin debat sama gibran aja kalah.. di skak sm gibram langsung ga bisa senyumðŸ¤­ðŸ¤­ di tambah lg di skak sm prof mahfud.. mau bangun 40 kota selevel jakarta..padahal jabatan presiden dan wakil presiden cm 5th. bangun IKN aja udah hampir 10 th blm jd apa2..harus brpa besar anggaran lg klo buat bangun 40 kota selevel jkrt.. berlebihan lah.. menghayal itu mah..dulu ikut potong tumpeng dan mendukung IKN.skrg menolak pembangunan IKN..tidak konsisten omongannya.. sprtinya setelah debat cawapres elektabiltas AMIN makin turun aja nih,muhaimin iskandar
Cak imin banyak janji trus perkataan nya standart bgt,muhaimin iskandar
Cak imin disuruh mengumumkan visi misi palah jadi komika dadakan,muhaimin iskandar
Cak Imin ngomong lambat,muhaimin iskandar
Cak imin kayak mlihat teks ya..dn visi misi nya sama skli tdak menarik ..maaf sya nggk trtarik ðŸ™ðŸ™,muhaimin iskandar
CAK IMIN SAMA KETUANYA SAMA AJA OMDO DAN JANJI MULUT Manis  Yang sangat tidak berguna untuk kedepannya,muhaimin iskandar
Cak imin yaAllah ngakak berbelit belit nanggepin nyaðŸ˜‚ðŸ˜‚ðŸ˜‚,muhaimin iskandar
Cak imin di debat ini bnyak blundernya ðŸ˜…ðŸ˜…,muhaimin iskandar
"Cak imin kebanyakan kembang. Nyampe isi nya kagak kesebut tak tuntas. Sama kayak capresnya sih , kebamyakan retorika",muhaimin iskandar
Cak imin cak imin gagasan anda terlalu muluk muluk,muhaimin iskandar
"cak imin apa sib, ngayal mulu statementnya",muhaimin iskandar
cak imin ini kalimatnya terlalu hiperbola,muhaimin iskandar
"Cak imin setiap disuruh jawab, malah ngasih deskripsi.",muhaimin iskandar
Cak imin amatir jawabannya ga nyambung. Tp klo liat prof &amp; mas gibran jawabannya masuk wkakaka kerenn,muhaimin iskandar
"Cak Imin, hanya berbicara normatif, tidak mampu memberi solusi",muhaimin iskandar
Cak Imin ditanya tdk bisa menjawab.<br>Membuat program muluk2. Tdk bisa bayangkan  dlm 5 tahun  bisa bangun kota sekelas Jakarta hingga 40 kota. Bgmn sumber anggaranya? Tdk habis fikir.,muhaimin iskandar
Cak imin makin kenceng ngibulnyaðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,muhaimin iskandar
Cak IMIN paling unggul malam ini..<br><br><br><br><br>MENGHAYALNYA YG UNGGUL ðŸ˜‚ðŸ˜‚ðŸ˜‚,muhaimin iskandar
Cak Imin dan Mahfud MD masih masuk akal dlm perdebatan ini daripada si ya tahulah hahaa...,muhaimin iskandar
"Cak imin mode profesional, asli kelihatan kedewasaan beliau saat lagi serius. Ketiga cawapres adalah orang-orang cerdas, siapapun yang terpilih kita patut hormati. Saya berharap 01",muhaimin iskandar
Cak imin banyak janji ah persis kaya mantan saya dulu,muhaimin iskandar
"Cak imin is thebest debat kali ini,,karna sangat peduli sekali dengan rakyat kecil husus nya untuk petani",muhaimin iskandar
"Cak imin Baru aja mulai bicara trntang visi misi udah bikin narasi yg menakutkanðŸ˜¢ apa dia belum tahu lahan 500rb hektar yg pernah pk prabowo garap sudah di berikan kepada negara sejak thun 2019?<br>Dan perkembangan food estated, juga arti food estate itu apa?ðŸ˜‚ðŸ˜‚<br>Ngeri banget visi misi 01 mau memberhentikan program food estated ðŸ˜¢padahal program itu program jangka panjang pencegah jika dimasa depan dunia global mengalami krisis pangan global...ngeri sekaliiðŸ˜¢ðŸ˜¢ðŸ˜¢",muhaimin iskandar
"Cak imin ini jawaban nya kyk orng mabok, di tanya jawaban ngawor, trus bnyak berupaya nyegol lahan orng ijazah orng, di upaya kn nya , cari cela ksana , gak nyambung ini. Pntes ente di jauhi kluarga gusdur, kyk nya perlu mba inaya wahid ni, ini cakmin klau nyegol biar kena mental sklian ad brni kahðŸ˜‚",muhaimin iskandar
Cak Imin ini cuma jago bacotan frontal pas seperti Anies Baswedan,muhaimin iskandar
Cak imin lancar bgt hafalannya,muhaimin iskandar
"Cak imin kurang kompeten. Bicara menjatuhkan orang lain<br>,tidak cocok menjadi cawapres. Jadi petani aja pak",muhaimin iskandar
Cak imin ini terlalu tinggi omongannya klau aku tdk mungkin memilihnya.. sungguh bodoh klau memilih dia..,muhaimin iskandar
"Cak Imin Memberikan statment ETIKA di dalam debat sekarang dan itu sangat bagus karena adab itu lebih tinggi derajatnya daripada ilmu. tapi yang sangat dsayangkan ketika di luar forum justru cak imin lah yang kurang memperhatikan ETIKA nya, dmana ketika kampanye suka menyudutkan salahsatu paslon dengan cara menyindirnya. terima kasih dan mohon maaf apabila perkataan saya ada yang salah.",muhaimin iskandar
"cak imin mantap, subtantif dan lebih pragmatis tawan kebijakannya",muhaimin iskandar
Cak imin muka nya lucu kaliðŸ˜‚ðŸ˜‚ðŸ˜‚cocoknya jdi pelawak aja kali yaðŸ˜‚ðŸ˜‚ðŸ˜‚,muhaimin iskandar
"Cak imin udah paling dungu...<br>Suka terban fitnah,<br>Yg d omong banyak hoaknyaa,,<br>Cak imin cak imin,,<br>Terlalu jdi sengkuni,",muhaimin iskandar
"Cak Imin janji kosong, tidak mampu melakukan nya.ðŸ˜‚ðŸ˜®ðŸ˜Š",muhaimin iskandar
Cak imin misi visinya apa ?!! Aku kok ngga paham iya ðŸ˜…,muhaimin iskandar
Cak imin kebanyakan senyum jd terkesan kurang smart dan kurang serius,muhaimin iskandar
Cak Imin omong blepotan apa karena pakai behel yaðŸ¤£ðŸ¤£ðŸ¤£,muhaimin iskandar
Cak Imin nampak bnget GK komitmen orangnya.. gimana mau nepatin janji..,muhaimin iskandar
CAK IMIN DISURUH NYAMPAIKAN VISI MISI MALAH BILANG APA,muhaimin iskandar
Cak Imin jwbnnya TDK tpat sasaran.... Slepet2 aja,muhaimin iskandar
Cak imin kalau lihat rekaman ulang ini apa gk malu yaa... Semua statement nya kok normatif,muhaimin iskandar
"Cak Imin, kurang memberikan step kongkrit dan strategi.",muhaimin iskandar
Cak imin komuknya ngeselin ðŸ˜¢,muhaimin iskandar
"cak imin ngmng apasi, maaf gw sebagai org netral susah memahami retorika cak imin karena input output nya jauh bgt, terkesan tergesa&quot; dapat jabatan wapres ðŸ™",muhaimin iskandar
"Cak imin paham masalah, paham solusi ðŸ‘ðŸ‘ðŸ‘",muhaimin iskandar
Cak imin kering bgd mulutnya sampe belibet.. ðŸ˜…,muhaimin iskandar
Cak Imin seperti Orang yg Kebingungan Menjawab &amp; Saat di Tanggapi Jawabannya...,muhaimin iskandar
"Cak imin ,...cak..suaramu datar..tanpa wibawa...",muhaimin iskandar
Cak imin ngmg apaan si ga bisa dipahamiðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ˜¢,muhaimin iskandar
Cak imin waktu visi misi ga bisa saya fahami ðŸ˜‚ðŸ˜…,muhaimin iskandar
"Cak Imin , bertopeng agama aja,tp sebenarnya gd kualitas nyaðŸ˜‚ðŸ˜‚ðŸ˜‚",muhaimin iskandar
cak imin ngapain dah? ngelawak yaa? kosong banget omongan nya,muhaimin iskandar
Cak Imin ini cuma punya ambisi....tapi nihil visi....,muhaimin iskandar
Cak imin Halu. Mf saya suka anis tapi tidak dgn imin terlalu tinggi janjinya,muhaimin iskandar
cak imin ngoomong apa,muhaimin iskandar
Cak imin sepertinya orang yg ngerti agama tapi kok mulutnya mencla mencle begitu ya...,muhaimin iskandar
Cak imin nyindirnya elegant...intelek,muhaimin iskandar
Cak Imin menyampaikan sesuatu yg substantial dg bahasa sederhana yg mudah difahami tanpa harus  membungkusnya dg terminologi yg terdengar &quot;wow&quot;,muhaimin iskandar
"Cak imin kaya bupati pemalang agung yg dipenjara grgr korupsi ,janji janji aja gada bukti ntrðŸ˜‚",muhaimin iskandar
Cak Imin gak nyambung dengan tema...,muhaimin iskandar
Cak imin ini menurut saya cuma berbicara yg indah2 saja kalo dia jadi wapres ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜‚,muhaimin iskandar
Cak imin tak pandai membalas pertanyaan seharusnya tanya balik dan cari singkatan juga ðŸ˜… slepet saya tetap pak anis,muhaimin iskandar
Cak imin fisi misinya kbanyakan janji,muhaimin iskandar
"Cak Imin banyakan karangan bebas, telak banget dari 2 cawapres lainnya",muhaimin iskandar
Cak imin hanya ambisi janji manis.. Tidak konsisten...,muhaimin iskandar
Cak imin minim gagasan,muhaimin iskandar
Cak imin kebanyakan kata kata... Beda sama pak mahfud dan mas gibran...,muhaimin iskandar
Cak imin gerogiðŸ˜‚ðŸ˜‚ðŸ˜‚ ternyata benar yang gak berani debat paslon 01,muhaimin iskandar
Cak imin gk ada point kalau bicara. Muter muter aja,muhaimin iskandar
Cak Imin sangat luar biasa argumentasinya luas lugas dan cerdas...tetap Cak Imin top,muhaimin iskandar
"Cak imin fokus contekan muluk , <br>Mas gibran dasdes on point jawabe, <br>Pak mahfud the real of dosen, enakan denger pak mahfud dri pada capresnyaðŸ™ðŸ˜‡",muhaimin iskandar
"Cak Imin, baru kata pembuka sdh sombong-ambisius, yg justru melecehkan pasangannya sendiri. Banyak gaya, kurang persiapan, blunder luh Cak Imin. Kasian pak Anis.",muhaimin iskandar
Cak Imin sangat penuh janji2 yang takkan ditepati...,muhaimin iskandar
Bapak amin pinter banget ngomongnya. <br>Hasil kerja nya juga harus nyata dong bukan cuma omong kosongðŸ¤­ðŸ˜†ðŸ¤£,muhaimin iskandar
Maa sya Allah caik Imin dan Prof Mahfud lebih beradab dan beretika dalam debat,muhaimin iskandar
MasyaAllah Gus Imin memang mantap closing statementnya. ORANG WARAS PASTI PILIH AMIN,muhaimin iskandar
Omg pantesan Cak Imin lancar jaya bicaranya ehhh terbyata baca catetan ðŸ˜‚ðŸ˜‚ðŸ˜‚,muhaimin iskandar
Bingung ðŸ˜… baru mulai aja gus imin udah nyenggol paslon lain gmn sih ðŸ˜… <br><br>Nol attittude ðŸ˜Š,muhaimin iskandar
"Siapa yg kemarin&quot; raguin Gibran? saya! Tapi skrng bangga dengan kecerdasan, selalu menyampaikan hal ringan yg bisa dimengerti logika, akhirnya ngerti arti kata umur nggak menjamin,",gibran rakabuming
"ðŸ‡²ðŸ‡¨<br>Paparan mas Gibran luwes, santai, namun tetap memiliki gagasan yg baik n komperhensif. Hal yg menggembirakan, bahwa Gen Z n Milenial Indonesia punya kemampuan dan kecerdasan.",gibran rakabuming
"Awalnya sempat ngremehkan Gibran....., ternyata di lluar ekspetasi ...luar biasa gibran .. kecerdasan mu melehihi umurmu",gibran rakabuming
"Aku terharu sampe merinding. SI Anak muda yang paling di remehkan ternyata yang paling terstruktur rencana kerjanya. Melebihi ekspetasi saya kecerdasannya. Maju terus Prabowo Gibran, pasangan sempurnaðŸ¥°",gibran rakabuming
Gibran orang yg sedikit kata2...tapi ketika tempur di debat kluar kecerdasannya,gibran rakabuming
"Mengagetkan sekali kecerdasan Gibran..wlopun dinyinyirin diluaran, tp apa yg disampaikan beliau patut diacungi jempol.tambah mantap dg Gibran yg Insyaalloh mampu melanjutkan kinerja Pak Jokowi.anak muda secerdas ini smp gak lolos menjadi cawapres benar2 rugi Indonesia ini. alhamdulillah saatnya anak muda lebih mantap maju membangun negeri ini.",gibran rakabuming
Yg katanya belimbing sayur dan samsul pas debat diluar nurul kecerdasannyaðŸ˜‚hebaaaatttt mas gibranðŸ˜Š,gibran rakabuming
Keren mas gibran...âœŒselalu di rendah kan dan di remehkan sama paslonlain beserta pengikutnya...tp dia buktikan kecerdasanya....,gibran rakabuming
